workload,load,clients,kvbench_qps,official_qps,qps_delta_percent,official_p50_ms,official_p95_ms,official_p99_ms
put,database-empty,8,1564,1582,1.2,4.901,5.840,8.453
put,database-empty,16,2737,2746,0.3,5.615,7.165,11.280
put,database-empty,32,3527,4705,33.4,6.277,10.362,15.501
put,database-empty,64,6283,6794,8.1,8.615,15.722,22.432
put,database-has-100000-entries,8,1595,1549,-2.9,4.936,5.880,9.514
put,database-has-100000-entries,16,2722,2718,-0.1,5.610,7.226,12.534
put,database-has-100000-entries,32,3495,4484,28.3,6.380,11.238,17.615
put,database-has-100000-entries,64,6331,6363,0.5,8.786,19.172,27.440
range,database-has-100000-entries,8,21371,23501,10.0,0.321,0.482,0.796
range,database-has-100000-entries,16,33060,35395,7.1,0.413,0.768,1.286
range,database-has-100000-entries,32,44120,47466,7.6,0.595,1.207,1.942
range,database-has-100000-entries,64,56877,56616,-0.5,0.962,2.029,3.384
