run,phase,workload,concurrency,elapsed_seconds,put_failed,put_max_ms,put_p50_ms,put_p95_ms,put_p99_ms,put_requested,put_retries,put_succeeded,put_throughput,range_failed,range_max_ms,range_p50_ms,range_p95_ms,range_p99_ms,range_requested,range_retries,range_succeeded,range_throughput,snapshot_bytes,snapshot_count,total_failed,total_retries,total_succeeded,total_throughput
cold-mixed-c16,cold,mixed,16,27.74,0,48.177939,7.387816,11.109232,13.373108,29911,5,29911,1078.2675408823357,0,43.038262,2.914984,5.958937,7.538181,70089,11,70089,2526.652190595501,0,0,0,16,100000,3604.902667627974
cold-mixed-c32,cold,mixed,32,14.253,0,104.476281,6.742500000000001,12.866859,17.032611,29911,0,29911,2098.5299905461297,0,103.002357,2.880908,6.991485000000001,11.474866,70089,0,70089,4917.383855684788,0,0,0,0,100000,7016.066792955869
cold-mixed-c64,cold,mixed,64,10.071,0,115.624119,9.302799,18.101436,22.991457,29911,0,29911,2969.9244888829808,0,108.864242,3.98963,10.72304,14.678191,70089,0,70089,6959.280448708477,0,0,0,0,100000,9929.50054612253
cold-mixed-c8,cold,mixed,8,35.196,0,244.029145,4.852964,7.289216000000001,10.391472,29911,0,29911,849.8304723775328,0,241.477707,1.690834,3.585638,5.538227,70089,0,70089,1991.3666536882383,0,0,0,0,100000,2841.2319581770657
cold-put-c16,cold,put,16,36.531,0,201.74297500000003,5.551793,7.435848,12.312379,100000,0,100000,2737.403322378868,,,,,,,,,,71545317,3,0,0,100000,2737.4011113848514
cold-put-c32,cold,put,32,28.351,0,272.324924,8.393286,13.046228,17.862225,100000,32,100000,3527.181043995044,,,,,,,,,,74352677,3,0,32,100000,3527.2124440055027
cold-put-c64,cold,put,64,15.915,0,235.08983,9.126923,17.232808,22.978452,100000,0,100000,6283.2318656816415,,,,,,,,,,48701278,2,0,0,100000,6283.380458686774
cold-put-c8,cold,put,8,63.94,0,246.932429,4.827906,6.107381,8.693337000000001,100000,0,100000,1563.9649570068668,,,,,,,,,,68280397,3,0,0,100000,1563.9662183296841
warm-mixed-c16,warm,mixed,16,29.04,0,50.18462000000001,7.66005,11.535798,15.044866,29911,5,29911,1029.987456706279,0,46.709592,3.083118,6.253947,8.4742,70089,11,70089,2413.519803854314,0,0,0,16,100000,3443.526170798898
warm-mixed-c32,warm,mixed,32,18.155,0,233.011105,8.562072,13.910138,20.640747,29911,10,29911,1647.537706885417,0,229.691241,3.849883,7.535031,11.63316,70089,22,70089,3860.5954444148306,0,0,0,32,100000,5508.124483613329
warm-mixed-c64,warm,mixed,64,11.533,0,83.205485,10.824858,18.261121,27.016173,29911,22,29911,2593.4502983151992,0,76.921172,5.043545,10.40308,18.25554,70089,42,70089,6077.106681776403,0,0,0,64,100000,8670.770831526923
warm-mixed-c8,warm,mixed,8,35.283,0,236.112471,4.725266,7.378637,12.379386,29911,3,29911,847.7570997476348,0,233.448643,1.686495,3.5671300000000006,6.142438,70089,5,70089,1986.5082198593152,0,0,0,8,100000,2834.2261145594193
warm-put-c16,warm,put,16,36.742,0,413.49808200000007,5.550839,7.27215,12.384601,100000,0,100000,2721.669479147914,,,,,,,,,,149160346,3,0,0,100000,2721.6809101300964
warm-put-c32,warm,put,32,28.609,0,465.712192,8.404877,13.312795000000001,18.77262,100000,32,100000,3495.448197348989,,,,,,,,,,150256506,3,0,32,100000,3495.4035443391936
warm-put-c64,warm,put,64,15.795,0,69.994852,8.962311,18.006646,26.077035,100000,64,100000,6330.962345074488,,,,,,,,,,99141804,2,0,64,100000,6331.117442228553
warm-put-c8,warm,put,8,62.693,0,527.103718,4.791346,5.959373,9.365805,100000,8,100000,1595.0799274223934,,,,,,,,,,148526396,3,0,8,100000,1595.0744102212368
warm-range-c16,warm,range,16,3.025,,,,,,,,,,0,5.485082,0.44392799999999993,0.729698,1.307673,100000,0,100000,33060.42256458131,0,0,0,0,100000,33057.85123966942
warm-range-c32,warm,range,32,2.267,,,,,,,,,,0,9.051445,0.627619,1.265356,2.401005,100000,0,100000,44120.46132786745,0,0,0,0,100000,44111.16012351125
warm-range-c64,warm,range,64,1.758,,,,,,,,,,0,8.486769000000002,0.959037,1.937451,3.309287,100000,0,100000,56877.390535395185,0,0,0,0,100000,56882.82138794084
warm-range-c8,warm,range,8,4.679,,,,,,,,,,0,7.271387,0.35730399999999995,0.48959199999999997,0.825969,100000,8,100000,21370.997985947783,0,0,0,8,100000,21372.08805300278
